#,Nome do negócio,Categoria,Telefone,WhatsApp?,WhatsApp (nº),E-mail,Instagram,Site,Cidade,Bairro,UF,Nota,Avaliações,Tempo ativ. (est.),Observação (argumento),Google Maps
1,Emporio Estofados - sofás direto da fábrica,Tapeçaria,(44) 99774-0526,Sim,(44) 99774-0526,,,,Maringá,Jardim Copacabana,Paraná,4.8,122,3+ anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (122 aval.),https://www.google.com/maps/search/?api=1&query=Emporio%20Estofados%20-%20sof%C3%A1s%20direto%20da%20f%C3%A1brica&query_place_id=ChIJK6q0-__T7JQRGgSO13wh2mo
2,Ingá Estofados,Loja de sofás,(44) 99950-7529,Sim,(44) 99950-7529,,,,Maringá,Jardim Santa Alice,Paraná,5,103,3+ anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (103 aval.),https://www.google.com/maps/search/?api=1&query=Ing%C3%A1%20Estofados&query_place_id=ChIJf_nrgbvR7JQR2DKAshATJSg
3,Classe A Estofados,Loja de móveis,(44) 99845-9323,Sim,(44) 99845-9323,,,,Maringá,Conjunto Habitacional Requiao,Paraná,4.9,81,3+ anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (81 aval.),https://www.google.com/maps/search/?api=1&query=Classe%20A%20Estofados&query_place_id=ChIJ2XPpnKrR7JQRygAVSnCbwyw
4,AWR Estofados (Ismael Ruiz),Loja de móveis,(43) 98401-4558,Sim,(43) 98401-4558,,,,Cambé,Jardim Santa Izabel,Paraná,5,41,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público • estabelecida (41 aval.),https://www.google.com/maps/search/?api=1&query=AWR%20Estofados%20(Ismael%20Ruiz)&query_place_id=ChIJu9wAHR5a65QRPO0GKgS2IC4
5,Tapeçaria Vitória,Estofamento automotivo,(44) 99762-4344,Sim,(44) 99762-4344,,,,Maringá,Jardim Santa Helena,Paraná,4.8,28,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Vit%C3%B3ria&query_place_id=ChIJuxQRVW3X7JQR4lNALPC-CD0
6,Tapeçaria Primo,Tapeçaria,(44) 99856-0949,Sim,(44) 99856-0949,,,,Sarandi,Novo Panorama,Paraná,4.9,27,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Primo&query_place_id=ChIJ2Y2segzQ7JQRwTKR00W-W5Y
7,Tapeçaria Samurai,Tapeçaria,(44) 99920-5716,Sim,(44) 99920-5716,,,,Maringá,conjunto hermans morais barros,Paraná,4.9,25,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Samurai&query_place_id=ChIJnetwvC3X7JQRc98F2FYdv-g
8,Helena Estofados,Loja de móveis,(43) 99604-6506,Sim,(43) 99604-6506,,,,Apucarana,Pirapó,Paraná,4.3,24,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Helena%20Estofados&query_place_id=ChIJsRjavc297JQR3S5VV1-v1Ug
9,Tapecaria santa rita,Tapeçaria,(43) 99649-0001,Sim,(43) 99649-0001,,,,Apucarana,Vila Sao Jose,Paraná,4,22,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tapecaria%20santa%20rita&query_place_id=ChIJx3igGF-Z7JQRBIQgXPBD4F0
10,Tapeçaria Modelo,Estofamento automotivo,(43) 98436-4874,Sim,(43) 98436-4874,,,,Ibiporã,Pérola,Paraná,4.2,22,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Modelo&query_place_id=ChIJ1fJlGNZH65QRKb4M4rRlCLA
11,BR - Tapeçaria Automotiva,Estofamento automotivo,(44) 99710-8617,Sim,(44) 99710-8617,,,,Maringá,Jardim Imperial II,Paraná,3.9,19,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=BR%20-%20Tape%C3%A7aria%20Automotiva&query_place_id=ChIJn3qmUNXR7JQR3k9TvnogJK0
12,Confiança Estofados,Loja de móveis,(44) 99949-4593,Sim,(44) 99949-4593,,,,Sarandi,Jardim Panorama,Paraná,3.9,19,1-3 anos (est.),SEM SITE • sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Confian%C3%A7a%20Estofados&query_place_id=ChIJV8-7qATR7JQR9RBWQ62wrlA
